song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,Cluster
Dum Dum Diga Diga,Mukesh,/artist/mukesh,03:21,Hindi,06-05-2002,0.32,0.1,0.977,0.157,-2.344,0.02,130.064,0.0,7.0,0.061,4.0,50.0,7686988.0,4
Phoolon Ka Taron Ka (Part 1),Kishore Kumar,/artist/kishore-kumar,06:00,Hindi,10-05-2011,0.99,0.95,0.133,0.881,-8.692,0.0307,203.56,0.0,1.0,0.099,4.0,88.0,3111582.0,0
Woh Humse Khafa Hain,Udit Narayan|Shreya Ghoshal,/artist/udit-narayan|/artist/shreya-ghoshal,05:13,Hindi,11-09-2021,0.38,0.69,0.493,0.298,-5.248,0.04,179.976,1.0,11.0,0.009,4.0,34.0,8625705.0,0
Hamein Tumse Pyar Kitna,Parveen Sultana,/artist/parveen-sultana,04:53,Hindi,08-09-2002,0.74,0.749,0.065,0.278,-2.183,0.0608,149.167,0.0,4.0,0.06,4.0,40.0,3700023.0,1
Jalte Hain Jiske Liye,Talat Mahmood,/artist/talat-mahmood,04:06,Hindi,09-12-2011,0.62,0.32,0.785,0.068,-4.484,0.047,192.24,0.0,2.0,0.035,4.0,47.0,9502965.0,3
Jahan Mil Jayen Chaar Yaar,Amitabh Bachchan|Kishore Kumar,/artist/amitabh-bachchan|/artist/kishore-kumar,06:36,Hindi,07-04-2009,0.78,0.979,0.225,0.661,-3.932,0.089,174.032,1.0,0.0,0.06,4.0,87.0,6376964.0,1
Tu Nahin To Zindagi Men Aur Kya,Chitra Singh,/artist/chitra-singh,05:24,Hindi,11-02-2018,0.19,0.366,0.753,0.663,-8.154,0.0963,153.582,0.0,8.0,0.0152,4.0,77.0,7815816.0,1
Hum Tumhen Chahte Hain,Kanchan|Manhar Udhas|Anand,/artist/kanchan|/artist/manhar-udhas|/artist/anand,07:16,Hindi,08-07-2004,0.2,0.99,0.012,0.826,-5.415,0.0504,150.002,1.0,6.0,0.028,4.0,47.0,7170438.0,1
Tera Saath Hai Kitna Pyara,Kishore Kumar|Sapna Awasthi,/artist/kishore-kumar|/artist/sapna-awasthi,05:36,Hindi,08-07-2007,0.17,0.9,0.476,0.787,-3.76,0.0961,139.631,0.0,5.0,0.049,4.0,56.0,5414621.0,1
Meri Qismat Men Tu Nahin Shayad,Lata Mangeshkar|Suresh Wadkar,/artist/lata-mangeshkar|/artist/suresh-wadkar,07:16,Hindi,11-03-2020,0.91,0.59,0.875,0.547,-3.797,0.06,149.978,1.0,2.0,0.06,4.0,55.0,8784665.0,3
Oonche Neeche Raste (Happy),Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:22,Hindi,05-04-2024,0.41,0.508,0.694,0.53,-9.663,0.063,104.716,1.0,1.0,0.0947,4.0,69.0,6074288.0,2
Chhoti Si Kahani Se,Asha Bhosle,/artist/asha-bhosle-1,07:18,Hindi,11-09-2014,0.83,0.98,0.83,0.449,-8.099,0.093,139.841,1.0,7.0,0.01,4.0,63.0,6098907.0,1
Mehboob Mere Mehboob Mere,Lata Mangeshkar|Mukesh,/artist/lata-mangeshkar|/artist/mukesh,05:06,Hindi,05-11-2016,0.98,0.17,0.979,0.711,-11.346,0.0933,199.886,1.0,1.0,0.05,4.0,69.0,5232028.0,3
Wada Kar Le Sajna,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,04:47,Hindi,02-01-2014,0.92,0.998,0.982,0.616,-4.496,0.018,153.921,0.0,5.0,0.03,4.0,79.0,5605584.0,0
Kahin Door Jab Din Dhal Jaye,Mukesh,/artist/mukesh,05:38,Hindi,05-11-2016,0.65,0.43,0.403,0.516,-13.288,0.05,122.057,0.0,0.0,0.09,4.0,39.0,872848.0,2
Mere Bhole Balam,Kishore Kumar,/artist/kishore-kumar,03:14,Hindi,03-04-2019,0.62,0.67,0.175,0.514,-12.262,0.057,160.064,1.0,7.0,0.0705,4.0,73.0,5637027.0,0
Mohabbat Bade Kaam Ki Cheez Hai,Kishore Kumar|Lata Mangeshkar|K J Yesudas,/artist/kishore-kumar|/artist/lata-mangeshkar|/artist/k-j-yesudas,04:39,Hindi,05-09-2022,0.41,0.77,0.075,0.247,-13.499,0.027,154.434,1.0,7.0,0.0,4.0,77.0,6332927.0,0
Dil Wil Pyar Wyar,Lata Mangeshkar,/artist/lata-mangeshkar,05:09,Hindi,11-03-2009,0.19,0.299,0.527,0.039,-4.595,0.08,192.376,0.0,11.0,0.084,4.0,36.0,4225079.0,3
Pyar Diwana Hota Hai,Kishore Kumar,/artist/kishore-kumar,04:45,Hindi,12-04-2011,0.75,0.512,0.714,0.109,-11.191,0.07,142.867,1.0,0.0,0.0861,4.0,92.0,6617896.0,3
Chand Jaise Mukhde Pe,K J Yesudas,/artist/k-j-yesudas,04:07,Hindi,11-11-2000,0.76,0.46,0.728,0.433,-7.464,0.02,109.237,1.0,0.0,0.0217,4.0,63.0,4958933.0,2
Yeh Galiyan Yeh Chaubara,Lata Mangeshkar,/artist/lata-mangeshkar,06:28,Hindi,01-01-2002,0.29,0.585,0.202,0.454,-4.114,0.08,178.782,0.0,6.0,0.08,4.0,63.0,8855415.0,1
Teri Yaad Aa Rahi Hai,Amit Kumar,/artist/amit-kumar,05:35,Hindi,07-11-2009,0.54,0.49,0.579,0.811,-13.44,0.09,125.014,0.0,0.0,0.098,4.0,55.0,10226802.0,1
Aaj Kal Yaad Kuch Aur Rehta Nahin,Mohammad Aziz,/artist/mohammad-aziz,06:26,Hindi,12-03-2015,0.68,0.029,0.21,0.638,-7.615,0.026,163.236,0.0,1.0,0.027,4.0,82.0,6553318.0,4
Ek Baar Mooskura Do,Kishore Kumar|Asha Bhosle,/artist/kishore-kumar|/artist/asha-bhosle-1,04:39,Hindi,04-10-2008,0.17,0.92,0.853,0.276,-13.143,0.024,183.426,1.0,8.0,0.083,4.0,57.0,9348126.0,0
Tumse Milke,Lata Mangeshkar,/artist/lata-mangeshkar,03:51,Hindi,02-03-2009,0.47,0.34,0.481,0.817,-13.535,0.03,189.194,0.0,10.0,0.09,4.0,64.0,6381604.0,4
Ek Baat Kahoon Gar Mano Tum,Lata Mangeshkar,/artist/lata-mangeshkar,03:59,Hindi,07-01-2017,0.74,0.716,0.597,0.38,-5.393,0.09,174.012,1.0,7.0,0.099,4.0,39.0,4419048.0,3
Tera Mera Saath Rahe,Lata Mangeshkar,/artist/lata-mangeshkar,05:45,Hindi,05-09-2021,0.48,0.15,0.745,0.129,-3.794,0.013,160.126,0.0,1.0,0.064,4.0,68.0,10649334.0,4
Kitne Sapne Kitne Arman,Kishore Kumar,/artist/kishore-kumar,04:32,Hindi,02-06-2006,0.66,0.172,0.644,0.049,-9.296,0.0058,149.818,0.0,6.0,0.0441,4.0,51.0,10992849.0,2
O Saathi Re (Male),Kishore Kumar,/artist/kishore-kumar,04:33,Hindi,08-02-2019,0.73,0.832,0.687,0.854,-4.951,0.0207,131.951,1.0,1.0,0.015,4.0,80.0,365118.0,2
Aaj Se Pehle Aaj Se Jyada,K J Yesudas,/artist/k-j-yesudas,05:04,Hindi,09-01-2016,0.74,0.791,0.925,0.676,-8.625,0.0811,125.461,0.0,3.0,0.05,4.0,42.0,2764811.0,2
Aao Twist Karen,Manna Dey,/artist/manna-dey,04:15,Hindi,08-04-2014,0.56,0.64,0.38,0.254,-7.202,0.0983,198.022,0.0,5.0,0.093,4.0,43.0,4245607.0,3
Phoolon Ke Rang Se,Kishore Kumar,/artist/kishore-kumar,05:07,Hindi,04-12-2011,0.59,0.81,0.221,0.277,-12.518,0.03,120.076,1.0,7.0,0.02,4.0,75.0,3128917.0,2
Bheegi Bheegi,James,/artist/james-1,05:45,Hindi,04-04-2010,0.89,0.27,0.087,0.474,-9.106,0.04,105.018,1.0,0.0,0.03,4.0,81.0,5377318.0,2
Taarif Karoon Kya Uski,Mohammed Rafi,/artist/mohammad-rafi,05:26,Hindi,07-07-2007,0.23,0.19,0.083,0.823,-6.862,0.02,130.075,1.0,7.0,0.06,4.0,30.0,3835056.0,4
Chori Chori Koi,Lata Mangeshkar,/artist/lata-mangeshkar,05:04,Hindi,04-09-2021,0.05,0.87,0.188,0.289,-6.717,0.091,187.992,0.0,10.0,0.04,4.0,55.0,10752476.0,1
O Majhi Re Apna Kinara,Kishore Kumar,/artist/kishore-kumar,03:04,Hindi,08-11-2010,0.68,0.67,0.091,0.778,-6.367,0.06,206.016,1.0,11.0,0.0904,4.0,75.0,7130953.0,0
Tamma Tamma Loge,Anuradha Paudwal|Bappi Lahiri,/artist/anuradha-paudwal-2|/artist/bappi-lahiri,07:54,Hindi,11-09-2019,0.51,0.88,0.041,0.652,-8.631,0.003,148.294,1.0,0.0,0.0466,4.0,26.0,921721.0,0
Phoolon Ka Taron Ka (Part 2),Kishore Kumar,/artist/kishore-kumar,04:03,Hindi,02-04-2020,0.77,0.35,1.0,0.438,-12.697,0.0246,145.59,1.0,11.0,0.026,4.0,96.0,1248503.0,2
Pyar Mujh Se Jo Kiya,Jagjit Singh,/artist/jagjeet-singh-1,04:30,Hindi,07-03-2003,0.76,0.264,0.094,0.182,-10.492,0.0968,160.0,1.0,0.0,0.0816,4.0,48.0,2484125.0,3
Ae Watan Ae Watan (Fast),Mohammed Rafi,/artist/mohammad-rafi,03:35,Hindi,04-10-2018,0.04,0.706,0.217,0.006,-11.458,0.06,171.688,1.0,7.0,0.0428,4.0,34.0,7682464.0,1
Jane Kya Tune Kahi,Geeta Dutt,/artist/geeta-dutt,04:09,Hindi,10-03-2019,0.68,0.51,0.326,0.717,-5.724,0.0726,157.996,1.0,1.0,0.005,4.0,94.0,11327777.0,3
Tune O Rangeele,Lata Mangeshkar,/artist/lata-mangeshkar,03:33,Hindi,07-08-2000,0.78,0.09,0.658,0.74,-11.994,0.06,197.984,1.0,6.0,0.0553,4.0,46.0,9792195.0,3
Chand Si Mehbooba Ho Meri,Mukesh,/artist/mukesh,03:57,Hindi,01-07-2016,0.16,0.897,0.268,0.122,-12.928,0.1,167.968,0.0,6.0,0.03,4.0,78.0,8322350.0,1
Jane Woh Kaise Log The,Hemant Kumar,/artist/hemanta-mukherjee,04:19,Hindi,10-02-2015,0.46,0.515,0.249,0.876,-2.249,0.01,160.062,1.0,8.0,0.085,4.0,26.0,1649408.0,0
Ab To Hai Tumse Har Khushi Apni,Lata Mangeshkar,/artist/lata-mangeshkar,04:45,Hindi,09-07-2017,0.58,0.94,0.494,0.586,-11.925,0.06,110.443,0.0,10.0,0.09,4.0,68.0,9881282.0,2
Unse Mili Nazar Ke Mere Hosh Ud Gai,Lata Mangeshkar,/artist/lata-mangeshkar,04:05,Hindi,09-02-2024,0.6,0.26,0.19,0.164,-12.874,0.0106,130.09,1.0,8.0,0.0627,4.0,30.0,5338074.0,2
O Sathi Chal,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,04:31,Hindi,09-07-2018,0.57,0.25,0.268,0.878,-7.864,0.0,182.462,1.0,7.0,0.0529,4.0,61.0,10927229.0,4
Neele Neele Ambar Par (Male Version),Kishore Kumar|Kalyanji Anandji,/artist/kishore-kumar|/artist/kalyanji-anandji,05:20,Hindi,12-12-2021,0.65,0.05,0.215,0.212,-12.493,0.0274,167.99,0.0,1.0,0.02,4.0,38.0,9430275.0,4
Megha Re Megha Re,Lata Mangeshkar|Suresh Wadkar,/artist/lata-mangeshkar|/artist/suresh-wadkar,06:28,Hindi,05-10-2012,0.1,0.6,0.761,0.598,-10.56,0.0862,171.093,1.0,1.0,0.01,4.0,81.0,8192885.0,1
Jis Gali Mein Tera Ghar,Mukesh,/artist/mukesh,04:01,Hindi,12-01-2022,0.64,0.189,0.053,0.875,-4.381,0.062,179.894,1.0,8.0,0.0155,4.0,61.0,959299.0,3
Parbat Se Kali Ghata Takraee,Asha Bhosle|Vinod Rathod,/artist/asha-bhosle-1|/artist/vinod-rathod,04:32,Hindi,04-02-2007,0.06,0.348,0.553,0.382,-7.331,0.0048,204.752,0.0,2.0,0.05,4.0,72.0,8427324.0,4
Saajan Mera Us Paar Hai,Lata Mangeshkar,/artist/lata-mangeshkar,05:03,Hindi,11-07-2014,0.37,0.542,0.76,0.779,-9.462,0.0828,148.385,1.0,4.0,0.01,4.0,58.0,4927890.0,1
Saagar Kinare,Lata Mangeshkar|Kishore Kumar,/artist/lata-mangeshkar|/artist/kishore-kumar,04:20,Hindi,02-01-2023,0.17,0.73,0.142,0.48,-13.762,0.086,128.977,0.0,1.0,0.035,4.0,65.0,9048086.0,1
Kahan Se Aaye Badra,Haimanti Shukla|K J Yesudas,/artist/haimanti-shukla|/artist/k-j-yesudas,07:39,Hindi,02-11-2009,0.83,0.34,0.166,0.05,-3.24,0.0314,126.806,1.0,9.0,0.07,4.0,88.0,7864551.0,2
Tu Kahan Ye Bata,Mohammed Rafi,/artist/mohammad-rafi,03:28,Hindi,06-03-2013,0.55,0.94,0.236,0.482,-3.88,0.09,127.029,1.0,0.0,0.039,4.0,90.0,10583889.0,1
Tujhse Naraz Nahin Zindagi (Male),Anup Ghoshal,/artist/anup-ghoshal-1,05:41,Hindi,05-11-2005,0.02,0.179,0.88,0.785,-11.604,0.055,183.902,1.0,1.0,0.01,4.0,33.0,2484760.0,4
Hothon Se Chhu Lo Tum,Jagjit Singh,/artist/jagjeet-singh-1,04:55,Hindi,12-09-2020,0.79,0.146,0.638,0.437,-8.734,0.0495,195.834,1.0,1.0,0.043,4.0,59.0,9181046.0,3
Roop Suhana Lagta Hai,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:45,Hindi,08-09-2015,0.68,0.6,0.208,0.026,-10.69,0.01,189.896,1.0,7.0,0.03,4.0,79.0,5441032.0,0
Raat Ke Hamsafar,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,05:35,Hindi,08-11-2008,0.5,0.25,0.087,0.831,-5.678,0.0147,173.968,1.0,8.0,0.0177,4.0,57.0,9155746.0,4
Tum Bhi Chalo,Kishore Kumar,/artist/kishore-kumar,04:29,Hindi,11-06-2002,0.88,0.783,0.754,0.584,-5.261,0.035,190.986,0.0,2.0,0.05,4.0,25.0,3627643.0,0
Dhoop Main Niklo Ghataon Mein Nahakar Dekho,Jagjit Singh,/artist/jagjeet-singh-1,05:06,Hindi,01-01-2010,0.42,0.68,0.749,0.577,-11.983,0.097,118.997,1.0,7.0,0.02,4.0,96.0,8907464.0,1
Tu Kal Chala Jayega,Manhar Udhas|Mohammad Aziz,/artist/manhar-udhas|/artist/mohammad-aziz,06:07,Hindi,03-07-2009,0.2,0.436,0.17,0.063,-12.039,0.032,170.95,1.0,1.0,0.079,4.0,96.0,4271482.0,4
Lekar Hum Diwana Dil,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,05:57,Hindi,06-05-2018,0.15,0.888,0.608,0.971,-2.677,0.0066,119.976,0.0,4.0,0.032,4.0,41.0,2623906.0,2
Pardesiyon Se Na Ankhiyan Milana (Sad),Mohammed Rafi,/artist/mohammad-rafi,03:16,Hindi,04-05-2013,0.27,0.76,0.4,0.31,-10.296,0.0973,192.208,0.0,10.0,0.096,4.0,41.0,11257327.0,1
Dillagi Ne Di Hawa,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,05:54,Hindi,07-04-2011,0.97,0.516,0.32,0.091,-6.077,0.01,125.999,1.0,0.0,0.0526,4.0,66.0,7100839.0,2
Yaadon Ki Baaraat,Mohammed Rafi|Kishore Kumar,/artist/mohammad-rafi|/artist/kishore-kumar,03:23,Hindi,10-02-2014,0.72,0.19,0.13,0.568,-10.344,0.044,169.799,0.0,8.0,0.0366,4.0,100.0,9911103.0,3
Jeevan Ke Din,Kishore Kumar,/artist/kishore-kumar,05:03,Hindi,03-01-2015,0.71,0.448,0.545,0.383,-9.657,0.026,144.053,1.0,5.0,0.0825,4.0,27.0,8348453.0,2
Awaara Bhanwara,Hema Sardesai|Malaysia Vasudevan,/artist/hema-sardesai|/artist/malaysia-vasudevan,06:48,Hindi,11-02-2015,0.61,0.665,0.843,0.222,-10.345,0.0747,119.002,1.0,5.0,0.068,4.0,60.0,1737345.0,2
Aapki Mehki Huyi Zulf Ko,Lata Mangeshkar|K J Yesudas,/artist/lata-mangeshkar|/artist/k-j-yesudas,03:11,Hindi,09-03-2011,0.5,0.622,0.614,0.816,-6.805,0.05,190.07,0.0,6.0,0.051,4.0,37.0,1143565.0,0
Main Shair Badnaam,Kishore Kumar,/artist/kishore-kumar,05:21,Hindi,10-01-2021,0.93,0.66,0.491,0.462,-11.483,0.05,128.072,1.0,11.0,0.007,4.0,49.0,4964428.0,2
Kabhi Kabhi Mere Dil Mein Dialogue,Amitabh Bachchan,/artist/amitabh-bachchan,01:03,Hindi,06-11-2004,0.36,0.13,0.821,0.461,-11.343,0.0959,158.554,0.0,8.0,0.0943,4.0,33.0,4112622.0,3
Ab Tumhare Hawale Vatan Sathiyon,Mohammed Rafi,/artist/mohammad-rafi,06:06,Hindi,01-09-2002,0.41,0.381,0.529,0.362,-13.413,0.096,190.374,1.0,7.0,0.06,4.0,97.0,7302243.0,3
Kya Se Kya Ho Gaya Bewafa,Mohammed Rafi,/artist/mohammad-rafi,03:16,Hindi,10-01-2016,0.98,0.99,0.367,0.625,-8.581,0.091,204.018,0.0,8.0,0.091,4.0,56.0,5112637.0,0
Tera Naam Liya,Anuradha Paudwal|Manhar Udhas,/artist/anuradha-paudwal-2|/artist/manhar-udhas,05:57,Hindi,09-03-2021,0.3,0.985,0.957,0.093,-2.547,0.1,127.884,0.0,11.0,0.097,4.0,65.0,3044179.0,1
Jalta Hai Badan,Lata Mangeshkar,/artist/lata-mangeshkar,04:28,Hindi,08-06-2012,0.7,0.79,0.844,0.349,-10.026,0.045,141.148,1.0,1.0,0.08,4.0,99.0,723083.0,2
Ek Chatur Naar Karke Sringar,Kishore Kumar|Manna Dey|Mehmood,/artist/kishore-kumar|/artist/manna-dey|/artist/mehmood,06:21,Hindi,12-06-2010,0.82,0.696,0.914,0.055,-8.161,0.05,134.052,0.0,1.0,0.0284,4.0,53.0,554735.0,2
Aaj Phir Jeene Ki Tamanna Hai,Lata Mangeshkar,/artist/lata-mangeshkar,03:58,Hindi,01-03-2003,0.04,0.796,0.512,0.981,-9.041,0.076,133.073,0.0,9.0,0.07,4.0,79.0,6880471.0,1
Right Here Right Now,Abhishek Bachchan|Sunidhi Chauhan,/artist/abhishek-bachchan|/artist/sunidhi-chauhan,03:02,Hindi,09-04-2007,0.51,0.5,0.822,0.356,-13.231,0.0925,126.17,1.0,8.0,0.072,4.0,49.0,8235871.0,1
Aazmale Aazmale,Shekhar Ravjiani,/artist/shekhar-ravjiani,04:54,Hindi,10-08-2021,0.56,0.04,0.32,0.867,-3.213,0.0362,178.012,1.0,8.0,0.082,4.0,89.0,8004549.0,4
Aaj Purani Raahon Se,Mohammed Rafi,/artist/mohammad-rafi,04:51,Hindi,11-07-2006,0.56,0.646,0.355,0.906,-11.221,0.041,199.946,0.0,10.0,0.05,4.0,89.0,3605327.0,0
Madhuban Khushboo Deta Hai (Male),K J Yesudas,/artist/k-j-yesudas,03:19,Hindi,10-12-2017,0.22,0.084,0.543,0.844,-2.464,0.03,197.662,1.0,3.0,0.0496,4.0,98.0,7334494.0,4
Tu Jo Mere Sur Men Sur Milaye,Hemlata|K J Yesudas,/artist/hemlata|/artist/k-j-yesudas,05:07,Hindi,01-11-2016,0.36,0.719,0.925,0.463,-3.277,0.07,137.767,0.0,1.0,0.0656,4.0,44.0,7235356.0,1
Hamen Tumse Pyar Kitna,Kishore Kumar,/artist/kishore-kumar,04:01,Hindi,09-09-2009,0.66,0.154,0.155,0.965,-12.614,0.0142,176.146,1.0,1.0,0.019,4.0,59.0,7591704.0,4
Om Shanti Om (Meri Umar Ke Naujawano),Kishore Kumar,/artist/kishore-kumar,08:51,Hindi,06-01-2015,0.2,0.057,0.769,0.506,-5.806,0.04,144.034,0.0,1.0,0.0778,4.0,58.0,3663946.0,4
Koi Hota Jisko Apna,Kishore Kumar,/artist/kishore-kumar,03:28,Hindi,01-06-2016,0.96,0.82,0.716,0.284,-13.749,0.01,127.839,1.0,8.0,0.0685,4.0,60.0,4634551.0,2
Yeh Nain Dare Dare,Hemant Kumar,/artist/hemanta-mukherjee,04:04,Hindi,02-03-2012,0.75,0.189,0.237,0.631,-6.553,0.0978,122.308,1.0,1.0,0.09,4.0,55.0,8446696.0,3
Tu Rutha Dil Tuta,Kishore Kumar,/artist/kishore-kumar,03:05,Hindi,03-03-2008,0.91,0.22,0.468,0.44,-7.639,0.071,185.794,1.0,2.0,0.01,4.0,52.0,7545319.0,3
Yeh Mana Meri Jan Mohabbat,Balbir|Mohammed Rafi,/artist/balbir|/artist/mohammad-rafi,07:54,Hindi,07-07-2020,0.68,0.751,0.238,0.392,-2.399,0.08,152.391,1.0,1.0,0.032,4.0,90.0,7034098.0,1
Gun Guna Rahe Hai Bhanvare,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,03:54,Hindi,11-10-2006,0.96,0.43,0.546,0.96,-7.056,0.0617,121.996,0.0,10.0,0.093,4.0,92.0,6890782.0,2
Chand Si Mehbooba Ho Meri,Mukesh,/artist/mukesh,03:57,Hindi,08-09-2011,0.73,0.34,0.38,0.703,-2.344,0.06,116.735,1.0,8.0,0.0422,4.0,64.0,2344418.0,2
Awaaz Di Hai,Asha Bhosle|Bhupinder Singh,/artist/asha-bhosle-1|/artist/bhupinder-singh,07:53,Hindi,05-06-2008,1.0,0.21,0.925,0.123,-7.109,0.05,152.07,1.0,1.0,0.02,4.0,97.0,10353066.0,3
Sohni Meri Sohni,Anwar|Asha Bhosle,/artist/anwar|/artist/asha-bhosle-1,08:48,Hindi,11-05-2001,0.33,0.06,0.617,0.837,-7.202,0.0386,187.0,1.0,8.0,0.0342,4.0,84.0,718537.0,4
Suniye Kahiye Kahiye,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,05:05,Hindi,05-03-2005,0.81,0.077,0.93,0.8,-13.129,0.064,209.788,1.0,8.0,0.04,4.0,59.0,9269971.0,3
Teri Duniya Se Hoke Majboor Chala,Kishore Kumar,/artist/kishore-kumar,05:11,Hindi,05-12-2014,0.74,0.15,0.766,0.022,-11.328,0.0289,192.302,1.0,2.0,0.081,4.0,94.0,10728621.0,3
Chil Chil Chilla Ke,Kishore Kumar,/artist/kishore-kumar,04:18,Hindi,08-09-2016,0.74,0.317,0.798,0.138,-4.252,0.0,190.096,1.0,1.0,0.036,4.0,31.0,5477457.0,3
Jane Na Nazar Pehchane Jigar,Lata Mangeshkar|Mukesh,/artist/lata-mangeshkar|/artist/mukesh,03:57,Hindi,11-04-2003,0.88,0.04,0.524,0.749,-12.822,0.0068,171.282,0.0,11.0,0.04,4.0,63.0,808430.0,4
Khush Rahe Tu Sada,Mohammed Rafi,/artist/mohammad-rafi,03:41,Hindi,01-06-2005,0.61,0.055,0.218,0.416,-7.806,0.06,178.28,0.0,8.0,0.09,4.0,48.0,5389558.0,3
Bhanware Ne Khilaya Phool,Lata Mangeshkar|Suresh Wadkar,/artist/lata-mangeshkar|/artist/suresh-wadkar,07:49,Hindi,08-10-2023,0.76,0.52,0.095,0.39,-4.645,0.0244,162.131,0.0,4.0,0.07,4.0,30.0,8971802.0,0
